ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
54,1.2048e-05,2.2311111111111113e-07,6.546400000000001e-05,1.2122962962962965e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 470, 'format')"
27,7.082e-06,2.622962962962963e-07,1.1207000000000001e-05,4.150740740740741e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 129, 'getLevelName')"
108,3.5668000000000005e-05,3.302592592592593e-07,3.5668000000000005e-05,3.302592592592593e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 391, 'getMessage')"
108,3.6279e-05,3.359166666666667e-07,0.0005312040000000001,4.918555555555556e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 987, 'format')"
9,8.122000000000001e-06,9.024444444444445e-07,0.000601623,6.6847e-05,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 1497, 'debug')"
18,1.6915e-05,9.397222222222222e-07,0.001082665,6.014805555555556e-05,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 1509, 'info')"
108,1.863e-05,1.725e-07,1.863e-05,1.725e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 839, 'filter')"
27,7.377000000000001e-06,2.7322222222222224e-07,1.2127000000000001e-05,4.491481481481482e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 167, '<lambda>')"
108,2.5788e-05,2.387777777777778e-07,6.900000000000001e-05,6.388888888888889e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 676, 'usesTime')"
108,2.8035000000000002e-05,2.5958333333333337e-07,0.000142952,1.3236296296296298e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 682, 'formatMessage')"
108,2.6715e-05,2.473611111111111e-07,4.3212000000000006e-05,4.0011111111111114e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 455, 'usesTime')"
